barcode,array_id,rna_in_array,rna_in_labeling_reaction,tissue_sample_id,structure,rna_integrity_number,donor,download_link
252491510766_1_4,2522,600,25.46,8912,"cuneate nucleus, Left",,H0351.2002,/api/v2/well_known_file_download/6609
252491510387_1_1,282,600,33.97,2322,"CA2 field, Right",,H0351.2001,/api/v2/well_known_file_download/4024
252491510759_2_2,2309,600,33.97,2322,"CA2 field, Right",,H0351.2001,/api/v2/well_known_file_download/6227
252491510392_2_2,797,384.465,20.77,3026,"Zona Incerta, Right",,H0351.2001,/api/v2/well_known_file_download/3543
252491510384_1_4,280,400,27.42,2393,"subiculum, Right",,H0351.2001,/api/v2/well_known_file_download/4003
252491510757_2_1,2339,600,26.41,8285,"Globose Nucleus, Left",,H0351.2002,/api/v2/well_known_file_download/6239
252491510832_2_3,4411,600,26.7,11212,"planum polare, Left",,H0351.1009,/api/v2/well_known_file_download/9655
252491510648_1_4,1608,600,29.91,5066,"precentral gyrus, Left, bank of the precentral sulcus",,H0351.2002,/api/v2/well_known_file_download/5061
252491510870_1_1,2596,600,22.89,9718,"lateral parabrachial nucleus, Left",,H0351.2002,/api/v2/well_known_file_download/6862
252491510135_1_3,450,600,29.03,1028,"Putamen, Left",,H0351.2001,/api/v2/well_known_file_download/739
252491510654_2_1,1901,600,27.57,4637,"temporal pole, Left, superior aspect",,H0351.2002,/api/v2/well_known_file_download/5529
252491510615_2_1,1642,600,27.57,4637,"temporal pole, Left, superior aspect",,H0351.2002,/api/v2/well_known_file_download/5159
252491510336_1_2,11,600,24.31,683,"middle temporal gyrus, Right, superior bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/863
252491510698_2_1,2211,600,17.82,7224,"Reticular Nucleus of Thalamus, Left",,H0351.2002,/api/v2/well_known_file_download/6000
252491510625_2_2,1732,600,30.1,4804,"superior temporal gyrus, Right, inferior bank of gyrus",,H0351.2002,/api/v2/well_known_file_download/5233
252491510798_1_4,4320,600,27.94,11261,"paracentral lobule, anterior part, Left",,H0351.1009,/api/v2/well_known_file_download/9499
252491510438_2_2,1332,600,28.9,5017,"precentral gyrus, Right, inferior lateral aspect of gyrus",,H0351.2002,/api/v2/well_known_file_download/4659
252491510371_1_3,642,600,26.6,2625,"central grey substance of midbrain, Right",,H0351.2001,/api/v2/well_known_file_download/1472
252491510791_1_4,146518533,600,20.78,127687969,"Globose Nucleus, Left",,H0351.1012,/api/v2/well_known_file_download/146535161
252491511470_1_1,147737356,600,20.78,127687969,"Globose Nucleus, Left",,H0351.1012,/api/v2/well_known_file_download/147740138
252491510624_1_3,1675,600,28.56,4641,"middle frontal gyrus, Right, superior bank of gyrus",,H0351.2002,/api/v2/well_known_file_download/5139
252491510929_1_2,127693447,600,28.64,126432072,"inferior temporal gyrus, Left, bank of mts",,H0351.1012,/api/v2/well_known_file_download/127770411
252491510793_2_1,146518422,600,26.24,127687967,"Medial mammillary Nucleus, Left",,H0351.1012,/api/v2/well_known_file_download/146535195
252491510396_1_4,997,360.96,28.93,4273,"central medullary reticular group, Right",,H0351.2001,/api/v2/well_known_file_download/4306
252491510426_1_1,894,600,26.4,2786,"Amygdaloid Transition zone, Left",,H0351.2001,/api/v2/well_known_file_download/3570
252491510786_1_4,146518548,600,28.01,127687586,"Nucleus Accumbens, Left",,H0351.1012,/api/v2/well_known_file_download/146535081
252491510786_2_2,146518543,600,28.01,127687586,"Nucleus Accumbens, Left",,H0351.1012,/api/v2/well_known_file_download/146535085
252491510081_2_1,166,600,31.39,337,"paracentral lobule, posterior part, Right, lateral bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/934
252491510371_2_4,644,414.975,19.69,2673,"Oculomotor Nuclear Complex, Right",,H0351.2001,/api/v2/well_known_file_download/1477
252491511331_1_3,147737290,600,20.55,139379744,"Claustrum, Left",,H0351.1012,/api/v2/well_known_file_download/147740110
252491510792_2_1,146518412,600,20.06,127687935,"Medial mammillary Nucleus, Left",,H0351.1012,/api/v2/well_known_file_download/146535179
252491510892_2_3,127695242,600,25.62,126426535,"superior frontal gyrus, Left, lateral bank of gyrus",,H0351.1012,/api/v2/well_known_file_download/127757612
252491511466_1_1,147738178,600,141.9,146021992,"pontine raphe nucleus, Left",,H0351.1012,/api/v2/well_known_file_download/147739557
252491510136_1_3,399,600,27.09,1050,"postcentral gyrus, Left, bank of the central sulcus",,H0351.2001,/api/v2/well_known_file_download/747
252491510133_2_1,398,600,27.49,963,"precentral gyrus, Left, bank of the central sulcus",,H0351.2001,/api/v2/well_known_file_download/725
252491510307_1_1,825,600,22.07,1059,VI,,H0351.2001,/api/v2/well_known_file_download/3894
252491510436_1_1,1334,600,30.03,5033,"postcentral gyrus, Right, bank of the central sulcus",,H0351.2002,/api/v2/well_known_file_download/4682
252491510109_1_2,822,600,28.83,1107,III,,H0351.2001,/api/v2/well_known_file_download/3879
252491510109_2_2,820,600,22.46,1115,III,,H0351.2001,/api/v2/well_known_file_download/3883
252491510100_2_2,841,600,28.47,1097,"Crus I, Left Lateral Hemisphere",,H0351.2001,/api/v2/well_known_file_download/3819
252491510829_2_4,4396,600,25.3,11327,"superior temporal gyrus, Left, inferior bank of gyrus",,H0351.1009,/api/v2/well_known_file_download/9687
252491510936_2_4,127693523,600,28.05,126432505,"fusiform gyrus, Left, bank of cos",,H0351.1012,/api/v2/well_known_file_download/127770455
252491511117_1_3,127694527,600,28.5,126434977,"fusiform gyrus, Left, bank of cos",,H0351.1012,/api/v2/well_known_file_download/127767957
252491510642_2_4,1712,600,30.31,4835,"Cingulate gyrus, parietal part, Right, superior bank of gyrus",,H0351.2002,/api/v2/well_known_file_download/5226
252491510442_2_2,1421,600,32.95,6266,"lateral parabrachial nucleus, Right",,H0351.2001,/api/v2/well_known_file_download/4861
252491510645_1_2,1592,600,27.31,4667,"superior frontal gyrus, Right, lateral bank of gyrus",,H0351.2002,/api/v2/well_known_file_download/5015
252491510134_2_4,446,600,28.25,965,"fusiform gyrus, Right, bank of cos",,H0351.2001,/api/v2/well_known_file_download/736
252491510353_1_3,653,600,28.25,965,"fusiform gyrus, Right, bank of cos",,H0351.2001,/api/v2/well_known_file_download/3423
252491510132_2_4,445,600,28.25,965,"fusiform gyrus, Right, bank of cos",,H0351.2001,/api/v2/well_known_file_download/720
252491510358_2_2,623,600,24.01,2540,"Lateral group of Nuclei, Left, Ventral division",,H0351.2001,/api/v2/well_known_file_download/3466
252491510948_2_2,4926,600,28.04,14185,"Anterior Group of Nuclei, Left",,H0351.1009,/api/v2/well_known_file_download/10158
252491510313_1_1,952,600,25.97,1313,"parahippocampal gyrus, Left, bank of the cos",,H0351.2001,/api/v2/well_known_file_download/1382
252491510879_1_4,5324,600,28.42,13529,"fusiform gyrus, Left, bank of cos",,H0351.1009,/api/v2/well_known_file_download/10316
252491510343_2_1,110,600,28.83,617,"postcentral gyrus, Right, bank of the posterior central sulcus",,H0351.2001,/api/v2/well_known_file_download/997
252491510446_1_4,1454,600,24.95,6172,"Pontine Reticular Formation, Right",,H0351.2001,/api/v2/well_known_file_download/4859
252491510885_1_3,5330,600,29.12,13921,"globus pallidus, internal segment, Left",,H0351.1009,/api/v2/well_known_file_download/10289
252491510711_2_3,2159,600,28.37,7042,"Paraventricular Nucleus of the Hypothalamus, Left",,H0351.2002,/api/v2/well_known_file_download/5913
252491510715_1_1,2227,600,24.27,7366,"Amygdaloid Transition zone, Right",,H0351.2002,/api/v2/well_known_file_download/5970
252491511072_1_1,5383,600,27.68,11045,"gyrus rectus, Left",,H0351.1009,/api/v2/well_known_file_download/10424
252491510840_1_4,5453,600,28.36,14138,"VIIB, Left Lateral Hemisphere",,H0351.1009,/api/v2/well_known_file_download/10368
252491510674_1_1,2105,600,28.55,7121,"Lateral group of Nuclei, Right, Ventral division",,H0351.2002,/api/v2/well_known_file_download/5871
252491510662_1_4,1981,600,29.68,5258,"Lateral group of Nuclei, Right, Ventral division",,H0351.2002,/api/v2/well_known_file_download/5451
252491510379_1_3,1018,502.04,27.42,4322,"central medullary reticular group, Right",,H0351.2001,/api/v2/well_known_file_download/4297
252491510629_2_3,1761,600,27.96,4915,"superior temporal gyrus, Right, inferior bank of gyrus",,H0351.2002,/api/v2/well_known_file_download/5198
252491510356_2_4,594,600,24.95,2561,"Medial Group of Nuclei, Left",,H0351.2001,/api/v2/well_known_file_download/3452
252491510694_1_1,2237,600,27.51,7501,"Lateral group of Nuclei, Right, Dorsal Division",,H0351.2002,/api/v2/well_known_file_download/5975
252491510696_1_4,2263,600,27.51,7501,"Lateral group of Nuclei, Right, Dorsal Division",,H0351.2002,/api/v2/well_known_file_download/5955
252491510675_1_2,2120,600,26.84,7114,"Lateral group of Nuclei, Right, Dorsal Division",,H0351.2002,/api/v2/well_known_file_download/5860
252491511479_1_3,147737255,600,28.98,139379778,"subiculum, Left",,H0351.1012,/api/v2/well_known_file_download/147740190
252491510646_2_2,1569,600,26.06,4524,"superior frontal gyrus, Right, lateral bank of gyrus",,H0351.2002,/api/v2/well_known_file_download/5048
252491510080_2_3,189,600,27.82,233,"superior rostral gyrus, Right",,H0351.2001,/api/v2/well_known_file_download/928
252491510331_2_2,508,600,27.82,233,"superior rostral gyrus, Right",,H0351.2001,/api/v2/well_known_file_download/3810
252491510836_2_1,2617,600,21.26,9413,"central grey substance of midbrain, Left",,H0351.2002,/api/v2/well_known_file_download/7045
252491510440_2_2,1335,600,30.56,5041,"postcentral gyrus, Right, superior lateral aspect of gyrus",,H0351.2002,/api/v2/well_known_file_download/4689
252491510087_1_3,133,600,21.44,548,"middle temporal gyrus, Left, superior bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/987
252491510802_1_4,4286,600,25.9,11143,"inferior occipital gyrus, Left, superior bank of gyrus",,H0351.1009,/api/v2/well_known_file_download/9447
252491510132_1_1,412,600,26,998,"parahippocampal gyrus, Left, lateral bank of gyrus",,H0351.2001,/api/v2/well_known_file_download/713
252491510696_2_3,2223,600,23.23,7334,"Lateral Nucleus, Right",,H0351.2002,/api/v2/well_known_file_download/5938
